Attempt,PermitURL,CurrentTime,WithinRange,CurrentScheduledDay,EarliestAllowableDay,NextAvailableDay,SecondAvailableDay,ThirdAvailableDay,FourthAvailableDay
16,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:52,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
17,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:53,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
18,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:54,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
19,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:55,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
20,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:56,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
21,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:56,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
22,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:57,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
1,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:02,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
2,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:02,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
3,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:03,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
4,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:04,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
5,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:05,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
6,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:05,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
1,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:10,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
2,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:11,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
3,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:12,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
4,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:12,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
5,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:13,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
6,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:14,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
7,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:15,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
8,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:15,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
9,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:16,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
10,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:17,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
11,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:18,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
12,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:18,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
13,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:19,FALSE,10/15/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
14,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:20,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
15,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:20,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
16,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:21,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
17,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:22,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
18,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:23,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
1,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:42,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
2,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:43,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
3,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:44,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
4,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:45,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
5,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:45,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
6,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:46,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
7,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:47,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
8,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:48,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
9,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:49,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
10,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:50,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
11,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:51,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
12,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:51,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
13,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:52,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
14,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:53,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
15,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:54,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
16,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:55,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
17,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:56,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
18,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:56,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
19,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:57,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
20,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:58,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
21,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 12:59,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
22,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:00,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
23,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:01,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
24,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:02,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
25,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:02,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
26,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:03,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
27,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:04,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
28,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:05,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
29,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:06,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
30,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:07,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
31,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:08,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
32,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:08,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
33,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:09,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
34,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:10,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
35,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:11,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
36,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:12,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
37,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:12,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
38,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:13,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
39,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:14,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
40,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:15,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
41,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:16,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
42,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:17,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
43,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:18,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
44,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:18,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
45,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:19,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
46,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 13:20,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
